cleaned_text,label,keyword_tag,is_profanity,is_insult,is_hate_speech,is_toxic
ya bircana sabredenler herkese dost davranıyor ama sonunda bitiriyor ya onun ayrilma olayında pat diye susturması onlar ne olacak,0.0,Bircan Bali ve Seren Serengil canlı yayında kavga etti!,0,1,0,1
0:44 saklambaçta ebe geliyormu diye bakıp ebelenenince sjwjwjsjhs,0.0,Oyun oynarken çıldıran koreli :),0,0,0,0
​ -m4z konu burda kupa değilki konu şu ki kaç milyon taraftarın yağmurda çamurda stada gelmiş hani çok büyük 6asarayın verdiği 10tl lik sözüm ona yağmurluk olan paçavra ile seni izlemiş ne acıdırki 😂😂sen o taraftarın önünde mücadele edemeden ezile ezile yenılıyorsun işin aslı bu 😂😂sen şimdi dersinki klasık 6asaray taraftar ın sözü olarak eee biz oynamadık oynamadınız değil oynuyamadınızzzzzzzz hani bilmem anlatabıldımmı 😂😂😂😂😂😂,0.0,💥 TARAFTAR ÇILDIRDI ❗ TARAFTAR ÖFKELİ ❗ GALATASARAY 0-2 FENERBAHÇE MAÇI TARAFTAR RÖPORTAJI.#gs #fb ,1,0,0,1
kudurun yiyin için kudurun utanın be utanın yazıklar olsun.,0.0,Huge fistfight in Parliament: AKP and CHP members clashed! THE CLEAREST FOOTAGE...,0,0,0,0
5 yıl oldu yalan iftira hala kanıtlayamadı,0.0,Canlı Yayında Cam Masayı Kırdılar!,1,0,0,1
bunun futbolla alakası yok,0.0,Fenerbahçe otobüsüne saldırıda yeni delil aranacak (Arşiv),0,0,0,0
öyle bir videoki izlerken kalbine sancı giriyor,0.0,Deep Humor Karma Röportaj Serisi (Vol27),0,0,0,0
adam haklı.,0.0,METROBÜSTE STAND UP / Muhteşem Final 😄,0,0,0,0
hepiniz idam edilmelisiniz,,,0,1,1,1
hepiniz kellelerini alacağız,,,0,1,1,1
fahişe git buradan,,,1,1,0,1
hayatımda gördüğüm en büyük kifayetsiz,,,0,1,0,1
sedat peker in ismini duyan ne diyecegini şaşırıyor ama güzel rol yapıyor yemedi deyilmi😂,0.0,Marmaray’daki Yumruklu Saldırı Zanlısı Serbest Bırakıldı! O Yumruğu Neden Attı?,0,0,0,0
06:35 sahaya atlayan yok bişey yok !!! terörist değiliz taraftarız biz !!!,0.0,Fenerbahce Galatasaray 12 mayis 2012 MAC SONRASI REZALET,0,0,1,1
troll herif,,,0,1,0,1
bu ırkı yok etmek lazım,,,0,1,1,1
kes lan göt,,,1,1,0,1
yaninda birileri olmasa bibok yiyemez.,0.0,Armed Attack on Live Broadcast! The Incident That Hit Türkiye's News!,1,0,0,1
sizin gibi kafirlerin yaşamaya hakkı yok,,,0,1,1,1
22 yaşındayım çalıştığım yerde yirmi den fazla roman bastı biz ise dört kişiydik olan oldu arkadaşım 1 ay hastaneden çıkamadı ben o günden sonra boş gezmek istemedim inanın emanete bakınca aklımda kötü senaryolar geliyor bunlar yüzünden maalesef insanlar boş gezmekten korkuyor,0.0,Armed Attack on Live Broadcast! The Incident That Hit Türkiye's News!,1,0,0,1
yunus akgün de tam size yakışıyor.çomar yunus,0.0,"🔥 ÖZEL HABER. Fenerbahçe SEVİNÇ,  Galatasaray ÜZÜNTÜ. Küfürler ve Mert Hakan Yandaş'ın SÖYLEMLERİ.",0,1,0,1
lan senin gibilerin soyunu kurutmak lazım,,,0,1,1,1
hepiniz kanınız bozuk sizin,,,0,1,1,1
sizi denize dökeceğiz!!!,,,0,1,1,1
ne kadar çomar birisin,,,0,1,0,1
türkiye'de ne çok rahatlık var ve bunun sebebi bu ülkede kanun yok nizam yok.,0.0,Trafikte tartıştığı araca tekme ve yumrukla saldırdı #shorts #trafik #keşfet,0,0,0,0
bencede,0.0,Oyun oynarken çıldıran koreli :),0,0,0,0
0:00 çarpılmış ben,0.0,Oyun oynarken çıldıran koreli :),0,0,0,0
unutmadık !,0.0,Fenerbahçe otobüsüne saldırıda yeni delil aranacak (Arşiv),0,0,0,0
bunları adam diye piyasaya sürüp önümüze koyanlarda suç var. birincisi bunlar rapçi değil. ikincisi bunların edeceği kavgadan ne olacak okuduğum gibi güldüm bir de diss falan demişsiniz komik olmayın gerçek sanatçıların peşinde yürüyün.,0.0,Sefo ve Çakal Gece Kulübünde Kavga Ettiler,1,0,0,1
lan hepiniz idam edilmelisiniz,,,0,1,1,1
favori kısım valla :d,0.0,TIRCIYLA BÜYÜK KAVGA! Türkiye'de Yaşanan Motorcu Kavgaları ve Kazaları! (330) Trafik Kavgaları! 2026,0,0,0,0
bu yorum ile zikicinizin galatasaray olduğunu belirtmişsin 😂,0.0,İşte o olaylı dev derbi! | Fenerbahçe & Beşiktaş | Ziraat Türkiye Kupası | 19.04.2018,0,0,0,0
türk düşmanları,,,0,1,1,1
siktir bacını,,,1,1,0,1
fenerium da ürün kalmayınca klimayı alan taraftarı yıkacaklarını düşünüyorlar.yazık size...,0.0,Fenerbahce Galatasaray 12 mayis 2012 MAC SONRASI REZALET,1,0,0,1
abi benim sınavlar geçmiyor çünkü yemek bodrumda pil yutma sonucunda yanık oluştu. burnumdan besleniyorum. öyle yani. en azından bu yorum hakkında shorts yaparsan aşırı sevinirin,0.0,OYUN OYNARKEN DELİREN İNSANLAR!,0,0,0,0
dünyada herkes birbirine küfür ediyor,0.0,Muharrem ince küfür,0,0,0,0
kürt iste ne beklersin,0.0,Deep Humor Karma Röportaj Serisi (Vol19),0,0,0,0
milletin anası sevilmiş,0.0,TEKMELER KÜFÜRLER HAVADA UÇUŞTU,0,0,0,0
bas git mankurt,,,0,1,0,1
sanane lan,0.0,Fearful Moments on the Kadıköy Metro! He Pointed a Rifle at Passengers | NTV,1,0,0,1
ulke egitim duzeyini gosteren bir davranis,0.0,🔴 A fight broke out in traffic!,0,1,0,1
hakem değil mi,0.0,Adli iki kez hakemi aldatmaya yönelik hareket nedeniyle sarı kart gördü ikisi de penaltıya dönüştü,0,0,0,0
aleviler şöyle böyledir,,,0,1,1,1
gerçekten davar mısın,,,0,1,0,1
tam bir piç,,,1,1,0,1
ajan bunlar ajan!!!,,,0,1,1,1
emre kral gerisi yalan,0.0,Fenerbahçe'nin otobüsü kurşunlanalı 2557 gün oldu 😔 #aydınlanmayangun #shorts #shorts #short #keşfet,1,0,0,1
+++++++++++++++++ + emre bol,0.0,ASPOR'daki canlı yayın Kavgaları (tartışmaları) VOL1,0,0,0,0
​ -j8c chamberlain 🤪😜,0.0,İşte o olaylı dev derbi! | Fenerbahçe & Beşiktaş | Ziraat Türkiye Kupası | 19.04.2018,0,0,0,0
sus be adi,,,0,1,0,1
aynen knk adam zengin manyağı,0.0,Oyun oynarken çıldıran koreli :),0,0,0,0
0:14,0.0,"🔥 ÖZEL HABER. Fenerbahçe SEVİNÇ,  Galatasaray ÜZÜNTÜ. Küfürler ve Mert Hakan Yandaş'ın SÖYLEMLERİ.",0,0,0,0
muhabir de tuaf mahkemeye veririm diyor şekeri elinden alınmış çocuk gibi 😄,0.0,Deep Humor Karma Röportaj Serisi (Vol32),0,0,0,0
s.k ağızlı,,,1,1,0,1
yallah arabistana,,,0,1,1,1
1 hafta sonra telefonda izledi😂😂,0.0,"🔥 ÖZEL HABER. Fenerbahçe SEVİNÇ,  Galatasaray ÜZÜNTÜ. Küfürler ve Mert Hakan Yandaş'ın SÖYLEMLERİ.",0,0,0,0
her şey kaba kuvvet olmuş. hayvanlar bile bu kaba kuvvet kullanan asalaktan daha medeni.,0.0,Metroda şarkı kavgası!,1,1,0,1
lan kellelerini alacağız,,,0,1,1,1
galata saraydan hayır gelmez en çok sevmediğim takım galata saray,0.0,Galatasaray Taraftarlarının Fenerbahçe Otobüsünü Taşlaması,0,0,0,0
rezil olmuşlar allah dahada rezil etsinler,0.0,Huge fistfight in Parliament: AKP and CHP members clashed! THE CLEAREST FOOTAGE...,0,0,0,0
ben de karadeliklerde hava nasıl çok merak ediyorum ama işte her merakımızın giderilmesi mümkün olmayabiliyor,0.0,MÜMTAZREİS SON DAKİKA GOLÜYLE ÇILDIRDI😂 FENERBAHÇE 1-1 GALATASARAY #fenerbahçe #galatasaray ,0,0,0,0
sen tam bir zürriyetsizsın,,,0,1,0,1
adamın sıfatında hayır yok töbe töbe yaaa 😂😂😂😂,0.0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları,0,0,0,0
enis kirazoğlu'nun orada komşu çocuğu gibi durması,0.0,CANLI YAYINDA REZİL OLAN YOUTUBER.,0,0,0,0
tam bir yavşak,,,1,1,0,1
bunu öyle bi falakaya yatıraklarki iki ay ayaklarının üstünde durmasın bi dahada attığı adıma dikkat ediyormu etmiyormu bakın o zaman buda emsal olur bunların peşini kovalayıp bunlara arka çıkanlarada aynı metodu uygulasıñlar,0.0,Fearful Moments on the Kadıköy Metro! He Pointed a Rifle at Passengers | NTV,0,0,0,0
şizofren ne alaka?,0.0,Otobüs şoförü yolcuyla tartıştı!,0,0,0,0
geçemezsinnnnnnnnnnn,0.0,RRaenee - TÜRKİYE'DE YAŞANAN MOTORCU KAVGALARI VE KAZALARI! #239 İzliyor | @Traffic.Channel,0,0,0,0
en azında 11 kişi kaldılar o maç :d,0.0,"""HAKEME"" yapılan ""SAYGISIZLIK""!!! #trabzonspor #galatasaray #hakem",0,0,0,0
mert hakan yandaş. ali koç. acun ılıcalı. irfan can kahveci bunlar kişilik karakter konusunda tam fenerbahçeye yakışan birileri,0.0,Fenerbahçe - Galatasaray Derbisinde Tansiyon Yükseldi! İşte Yaşananlar,1,0,0,1
kral gelmsssssssssssss,0.0,TIRCIYLA BÜYÜK KAVGA! Türkiye'de Yaşanan Motorcu Kavgaları ve Kazaları! (330) Trafik Kavgaları! 2026,0,0,0,0
ya sana ne,0.0,Telefon Şakası    komik ses kaydı,0,0,0,0
sanki dizlerde olurya bir mahallenin insanlari gibi valla,0.0,METROBÜSTE STAND UP / Muhteşem Final 😄,0,0,0,0
biz fenerbahçe için insanlarla dost olduk düşman olmakta çok güzel der emre belözoğlu,0.0,Fenerbahçe'nin otobüsü kurşunlanalı 2557 gün oldu 😔 #aydınlanmayangun #shorts #shorts #short #keşfet,0,0,0,0
şu an trabzon otobüsü kurşunlansa iyi olur,0.0,Fenerbahçe otobüsüne saldırıda yeni delil aranacak (Arşiv),1,0,0,1
hahaha hakkaten ya,0.0,"""Are you a bandit?"" Undercover Police Officer Issues Slap-Like Warning to Motorcyclist Kicking in...",0,0,0,0
hepiniz kökünüzü kazıyacağız,,,0,1,1,1
doğru düzgün cezalar vermek için neyi bekliyorlar,0.0,Trafikte tartıştığı araca tekme ve yumrukla saldırdı #shorts #trafik #keşfet,0,0,0,0
olum ben klavyelere üzüldüm lan :(,0.0,Oyun oynarken çıldıran koreli :),1,0,0,1
gerçekten çomar mısın,,,0,1,0,1
koskoca meclise bu kavgalar hiç yakışmıyor......,0.0,Huge fistfight in Parliament: AKP and CHP members clashed! THE CLEAREST FOOTAGE...,0,0,0,0
bıktık senin gibi gerizekalılardan,,,0,1,0,1
hepiniz ajan bunlar ajan,,,0,1,1,1
bıktık senin gibi pisliklardan,,,0,1,0,1
fahişe ağızlı,,,1,1,0,1
ben ne zaman bu video izlesem. kanım donuyor. kendi kendime diyorum ki bu dünyada n yaparsan yap mazlumun kalbini kırma ve kibirlenme.,0.0,İbrahim Tatlıses canlı yayında stüdyoyu basıyor ve konuğu kovuyor!!!!!,0,0,0,0
türkcell in acizliği bu ne yazıkki güveniyoruz ama sonuç böyle,0.0,Turkcell Kayıt Altına Alınan Görüşme -) - YouTube.flv,0,0,0,0
lan din düşmanları,,,0,1,1,1
mac iptalolurdu,0.0,GALATASARAY 0 FENERBAHÇE 0 The Most Fierce Derby in History 2009,0,0,0,0
ne kadar salak birisin,,,0,1,0,1
ne göt bir herifsin,,,1,1,0,1
bıktık senin gibi eziklardan,,,0,1,0,1
hepiniz bu millete ihanet edenler bedel ödeyecek,,,0,1,1,1
gs daha iyi,0.0,Galatasaray Taraftarlarının Fenerbahçe Otobüsünü Taşlaması,0,0,0,0
​ 😅😅😅😅,0.0,Armed Attack on Live Broadcast! The Incident That Hit Türkiye's News!,0,0,0,0
heştek klavyemi seviyorum :),0.0,Oyun oynarken çıldıran koreli :),0,0,0,0
ya turgay demir herkesi anliyorumda ilker yagcioglu ile nasil kavga etmeyi basardin 😂,0.0,ASPOR'daki canlı yayın Kavgaları (tartışmaları) VOL1,0,0,0,0
KÖKÜNÜZÜ KAZIYACAĞIZ,,,0,1,1,1
sen tam bir salaksın,,,0,1,0,1
tamamen katılıyorum tepki alınca özür dilemek kolay amk,0.0,CANLI YAYINDA REZİL OLAN YOUTUBER.,1,0,0,1
akp den önceki en düşük emekli maaşı bu günkü alım gücü 80 bin tl ye denk geliyor.,0.0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları,0,0,0,0
ilk röportajda ki şahıs resmen dayının o kadar para kazanmasını kaldıramadı…,0.0,Deep Humor Karma Röportaj Serisi (Vol19),0,0,0,0
(:aynen):,0.0,Oyun oynarken çıldıran koreli :),0,0,0,0
KÖKÜNÜZÜ KAZIYACAĞIZ,,,0,1,1,1
aga herkes makara la bize böyle otobüs denk gelmez :d:dd,0.0,METROBÜSTE STAND UP / Muhteşem Final 😄,0,0,0,0
malesef artık sakalliya da güvenmiyoruz artık neleri var,0.0,Deep Humor Karma Röportaj Serisi (Vol32),0,1,0,1
ulan sizin kanaryanız 12 yıldır ligde bir kupa kaldıramadı o söz size yakışır kedi uzanamadığı ciğere mundar dermiş😂😂😂😂,0.0,💥 TARAFTAR ÇILDIRDI ❗ TARAFTAR ÖFKELİ ❗ GALATASARAY 0-2 FENERBAHÇE MAÇI TARAFTAR RÖPORTAJI.#gs #fb ,1,0,0,1
sırf şarkı söyledi diye şiddete başvurmak milletimizin ne kadar vahşi olduğunu kanıtlıyor ...,0.0,Metroda şarkı kavgası!,0,0,0,0
kerem çok fena kudurdu he😂💛💙,0.0,"🔥 ÖZEL HABER. Fenerbahçe SEVİNÇ,  Galatasaray ÜZÜNTÜ. Küfürler ve Mert Hakan Yandaş'ın SÖYLEMLERİ.",0,0,0,0
bu millete ihanet edenler bedel ödeyecek,,,0,1,1,1
ne kadar kamil birisin,,,0,1,0,1
sebep ne olursa olsun çocukların yanında olmadı,0.0,Marmaray’daki Yumruklu Saldırı Zanlısı Serbest Bırakıldı! O Yumruğu Neden Attı?,0,0,0,0
hepiniz fetöcü bunlar asmak lazım,,,0,1,1,1
"türkiye’de tırafik polisi bile üç şeritli otabanda orta şeritte 100 km le gidiyor,tırafik polisi bile tırafik kurallarını bilmiyor, yanlış park edenleri polise şikayet ediyorum bana sen burda tatildesin birkaç gün sabır et sonra gidersin diyor, 🤷",0.0,TÜRKİYE'DE YAŞANAN TRAFİK KAVGALARI VE KAZALARI! #4 | Sokak Kavgaları 2023,0,1,0,1
metrolar konser alanı değil kimseyi rahatsız edemezsiniz sokakta şarkını söyle çok istersen,0.0,Metroda şarkı kavgası!,1,0,0,1
abi ona trabzon spor lular yaptı,0.0,Fenerbahçe otobüsüne saldırıda yeni delil aranacak (Arşiv),0,0,0,0
hepiniz ülkeyi sattınız vatan hainleri,,,0,1,1,1
haklı olduğu durumlar da var ama şu 4:52 yi izleyin bu sürüşle çevredeki ne bir araç ne de yaya güvende değil,0.0,TÜRKİYE'DE YAŞANAN MOTORCU KAVGALARI VE KAZALARI! #262 | Trafik Kavgaları! (2025),0,0,0,0
kanınız bozuk sizin,,,0,1,1,1
insan olsa alırdı,0.0,Otobüste bebek arabası tartışması,0,0,0,0
boş adam,0.0,ASPOR'daki canlı yayın Kavgaları (tartışmaları) VOL1,0,0,0,0
vatan haini şerefsizler!!!,,,0,1,1,1
yuh be başkanım ya daha çok sovmeliyidin,0.0,Muharrem ince küfür,0,0,0,0
gecenin 4’ünde ben buraya nasıl geldim arkadaş. 🤣,0.0,Turkcell Kayıt Altına Alınan Görüşme -) - YouTube.flv,0,0,0,0
çakala her zaman çakmak lazım,0.0,Sefo ve Çakal Gece Kulübünde Kavga Ettiler,0,1,0,1
lan vatan haini şerefsizler,,,0,1,1,1
5:25 bu çok iyi ya,0.0,TÜRK CANLI YAYIN KAVGALARI 2017,0,0,0,0
ezik herif,,,0,1,0,1
mülteciler defolsun,,,0,1,1,1
amaaann tutmayın göççük enişteyi😁😁,0.0,"Varank ""hırsız"" diye laf attı Veli Ağbaba yerinden fırladı: Meclis'e ara verdiren kavga!",0,0,0,0
😅😅😅😅😅,0.0,"Kendisine karşı ""Koyduk mu?"" molası alınan gergin ataman kuduruyor.",0,0,0,0
bu gibi insanlar peygamber efendimizin zamanında olmayan şeylere haram diyen insanlar bunlar,0.0,Deep Humor Karma Röportaj Serisi (Vol32),0,0,0,0
vatan haini şerefsizler!!!,,,0,1,1,1
mülteciler defolsun!!!,,,0,1,1,1
bas git davar,,,0,1,0,1
aklima yusuf yusuf filmi geldi 🤣😂,0.0,This may be the most serious debate that has ever occurred on the metrobus.,0,0,0,0
hepiniz soysuz köpekler,,,0,1,1,1
haram zıkkım olsun😡,0.0,Huge fistfight in Parliament: AKP and CHP members clashed! THE CLEAREST FOOTAGE...,0,0,0,0
amına seni,,,1,1,0,1
ne siktir bir herifsin,,,1,1,0,1
kaç kere sırtımızdan hancerlediniz lan kardeşliğin senin olsun,0.0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları,1,0,0,1
ananı kıç,,,1,1,0,1
lan kanınız bozuk sizin,,,0,1,1,1
bir aydan sonra ne yapsın pardon? ancak cahil cahil konuşmayı bilip kendinizi bir şey zannedersiniz. biraz empati,0.0,Otobüste bebek arabası tartışması,0,1,0,1
sus be şerefsiz,,,0,1,0,1
kim yaptıysa allah belasını versin inşallah,0.0,Fenerbahçe otobüsüne saldırıda yeni delil aranacak (Arşiv),0,0,0,0
ananı oç,,,1,1,0,1
ispat edersem milletten özür diler misin diyor adam ona bile cevap veremiyor.,0.0,Canlı Yayında Cam Masayı Kırdılar!,0,0,0,0
lan senin gibilerin soyunu kurutmak lazım,,,0,1,1,1
saras babadır ve bundan ideal koç yoktur şu an için ama keşke itoudis gelmeyip djordjeviç kalsaydı,0.0,"Kendisine karşı ""Koyduk mu?"" molası alınan gergin ataman kuduruyor.",1,1,0,1
herkes işine yapacak la arayın polisi gelsin ayirsin,0.0,İstanbul’da Trafiğin Ortasında Boks Ringini Aratmayan Kavga!,0,0,0,0
ülke bu haldeyken bu olayların haber değeri bile yok bence. önceliği önemli haberlere veriniz,0.0,Marmaray’daki Yumruklu Saldırı Zanlısı Serbest Bırakıldı! O Yumruğu Neden Attı?,0,0,0,0
bu ne rezilliktir sözde bizi temsil ediyorlar yazıklar olsun 😡asğari ücret ve emekli maaşını örtbas etmek için kudurun,0.0,Huge fistfight in Parliament: AKP and CHP members clashed! THE CLEAREST FOOTAGE...,0,0,0,0
malmisin olum allah korkusu da mi yok sende,0.0,🚨 Derbide Gergin Anlar #shorts #fenerbahçe #galatasaray,0,1,0,1
sedat pekerciler neden sessiz bu olaya,0.0,Mehmet Cengiz İnşaat halka küfürlü Ses kaydı.,0,0,0,0
ne bok bir herifsin,,,1,1,0,1
hepiniz din düşmanları,,,0,1,1,1
baya güldüm ya😂😂😂😂,0.0,Deep Humor Karma Röportaj Serisi (Vol27),0,0,0,0
senin kaliteni kim belirledi,0.0,Deep Humor Karma Röportaj Serisi (Vol21),0,1,0,1
"bence maç bitemez, 4er 5er kırmızı kartla iptal olurdu 😅",0.0,GALATASARAY 0 FENERBAHÇE 0 The Most Fierce Derby in History 2009,0,1,0,1
aq seni,,,1,1,0,1
yazık günah hiçmi vicdan olmaz bir insanda ya oda allah 'ın kulu sen de niye sevmek yerine incitmeyi seçer bir insan .,0.0,Fenerbahçe otobüsüne saldırıda yeni delil aranacak (Arşiv),0,1,0,1
"sinan enginin akilli bi insan olup olamadigi ile ilgili suphelerim vardi artik eminim dunku programi izledim bu aksamkini de izledim ve dikkatimi cekti iki gundur ayni seyleri konusuyor ""bunu nasil yapaarsiniz,bunu nasil dusunmusler,butun takimi oldurmeye kalkmak ne demek,boyle sey olurmu,inanilir gibi degil""ve bunun gibi seyler baska hicbirsey konusmadi anladik baska bisey soyle be adam futboldan falan da anladigi yok cok mantiksiz konusuyor bazen iyiki ertem sener diye fanatik bir sinan engin yalakasi var yaninda nezaman baslasa sacmalamaya araya giriyor ben anladim dedigini falan tercume ediyor bize sacmaliklarini",0.0,(T) Beyaz Futbol 5 Nisan 2015 Tek Parça,1,1,0,1
ajan bunlar ajan!!!,,,0,1,1,1
seçimlerden önce laglar azalsın diye daha az npc koyuyorlar seçim günü npc sayısını arttırıyorlar zaten o yüzden ara sıra laglanmalar oluyor,0.0,Deep Humor Karma Röportaj Serisi (Vol22),1,1,0,1
fetöcü bunlar asmak lazım,,,0,1,1,1
ışte türkiyenin gerçegi bu rezillik,0.0,İstanbul’da Trafiğin Ortasında Boks Ringini Aratmayan Kavga!,0,0,0,0
adam hepimizin yerine konuşmuş helal olsun,0.0,Turkcell Kayıt Altına Alınan Görüşme -) - YouTube.flv,0,0,0,0
kaşar git buradan,,,1,1,0,1
sen tam bir öküzsın,,,0,1,0,1
koyduk mu molası almak şerefsizlik,0.0,"Kendisine karşı ""Koyduk mu?"" molası alınan gergin ataman kuduruyor.",0,1,0,1
"saygım arttı , oyu atarken masayı kırcam 🫡",0.0,Muharrem ince küfür,0,0,0,0
vatan haini şerefsizler!!!,,,0,1,1,1
hepiniz bunların hepsi terörist,,,0,1,1,1
YAHUDI TOHUMU BUNLAR,,,0,1,1,1
"öyle bir yastık yaptırırsan gelecek tepkilere de katlanmak zorunda kalırsın, adamın istemediği bir şey sonuçta",0.0,CANLI YAYINDA REZİL OLAN YOUTUBER.,1,0,0,1
kannst du deutsch sprechen?,0.0,Deep Humor Karma Röportaj Serisi (Vol32),0,0,0,0
senin ben kahretsin,,,1,1,0,1
lan dış güçlerin maşası olmuşsunuz,,,0,1,1,1
lan bu ırkı yok etmek lazım,,,0,1,1,1
"2:10 dayı çıkmaza girince,sistem hemen cirkef kadını spawnladı😂",0.0,Deep Humor Karma Röportaj Serisi (Vol32),0,0,0,0
insanlar hem edebsizce ahlaksızca davranıp kurallarada uyumuyorlar. biz uyarınca işitmediğimiz hakaret kalmıyor yinede biz suçlu oluyoruz.....,0.0,Marmaray’daki Yumruklu Saldırı Zanlısı Serbest Bırakıldı! O Yumruğu Neden Attı?,0,1,0,1
Allah'ın defolu,,,1,1,0,1
abi şu maçın verdiği zevke bak kadrolara bak taraftarlara bak beşiktaş lı olarak yıllar sonra bu maçtan tekrar zevk aldım 😂😂,0.0,İşte o olaylı dev derbi! | Fenerbahçe & Beşiktaş | Ziraat Türkiye Kupası | 19.04.2018,0,0,0,0
تحية وتقدير يونس بلهندة ❤️🇲🇦❤️,0.0,🚨 Derbide Gergin Anlar #shorts #fenerbahçe #galatasaray,0,0,0,0
sizin gibi garip yetimleri çok üzdük bunca sene ağlaklar😂,0.0,💥 TARAFTAR ÇILDIRDI ❗ TARAFTAR ÖFKELİ ❗ GALATASARAY 0-2 FENERBAHÇE MAÇI TARAFTAR RÖPORTAJI.#gs #fb ,0,0,0,0
sus be haysiyetsiz,,,0,1,0,1
zaten senin zihniyetin de olan insan dışı varlıklar tarafından kurşunlandı fenerli değilim insanım 😉,0.0,(T) Beyaz Futbol 5 Nisan 2015 Tek Parça,1,0,0,1
araban inip ayırmak ❌ korna çalmak ✅,0.0,İstanbul’da Trafiğin Ortasında Boks Ringini Aratmayan Kavga!,0,0,0,0
yalansa bacına dayım 😂,0.0,Huge fistfight in Parliament: AKP and CHP members clashed! THE CLEAREST FOOTAGE...,1,0,0,1
"evet yaaa,muhtemelen hasta diye psikolojisi bozuk diye sesini cikarmiyordu ,demekki canina tak etti artik",0.0,Bircan Bali ve Seren Serengil canlı yayında kavga etti!,1,0,0,1
türk ordusuna kimsenin hakkı yok hakaret etmeye asker bizim tacımızdır,0.0,Cemal Enginyurt ile Abdurrahman Uzun arasında sert tartışma,0,0,0,0
yazık hasta galiba allah sifalar versin ailesine...,0.0,Otobüs şoförü yolcuyla tartıştı!,0,0,0,0
birisi gelmek istiyor diğeri gitmek istemiyor olan halk a oluyor,0.0,Huge fistfight in Parliament: AKP and CHP members clashed! THE CLEAREST FOOTAGE...,1,1,0,1
4.57 abi kararlı bisiklet yoluna motorda girebilir motor da bisiklete giriyo abi,0.0,RRaenee - TÜRKİYE'DE YAŞANAN MOTORCU KAVGALARI VE KAZALARI! #239 İzliyor | @Traffic.Channel,1,0,0,1
şoför değil ki ehliyetine el konsun :),0.0,Trafikte tartıştığı araca tekme ve yumrukla saldırdı #shorts #trafik #keşfet,0,0,0,0
YUNAN TOHUMU,,,0,1,1,1
a2 ingilizcemle daha iyi cumle kurarım sösjs,0.0,Deep Humor Karma Röportaj Serisi (Vol21),0,0,0,0
saygım arttı ben 2-3 seçim daha desteklerim aga,0.0,Muharrem ince küfür,0,0,0,0
polis taktir yetkisini kulanmasa şu ülkede yuzde 60 trafiğe çıkamaz.klavye delikanlıgi yapmayın.,0.0,"""Are you a bandit?"" Undercover Police Officer Issues Slap-Like Warning to Motorcyclist Kicking in...",1,0,0,1
suriyeliler dışarı,,,0,1,1,1
nakşibendi imis,0.0,Deep Humor Karma Röportaj Serisi (Vol32),0,0,0,0
kaçan mutlu kalan mutsuz,0.0,Deep Humor Karma Röportaj Serisi (Vol32),1,0,0,1
yapmış işte görevini. suç oluşmadan engellemiş. ottan boktan nem kapın. her işi kendinizi kusursuz yapıyormuş gibi başkalarına da bok atın aw..,0.0,"""Are you a bandit?"" Undercover Police Officer Issues Slap-Like Warning to Motorcyclist Kicking in...",1,0,0,1
hepiniz arap seviciler sizi,,,0,1,1,1
"zorbalıkla övündüğüm falan yok, şaşırtıcı bi olay gerçekleşmiş bunu da farklı bi üslupla yazdım",0.0,🚨 Derbide Gergin Anlar #shorts #fenerbahçe #galatasaray,1,0,0,1
polis ne yapsin opucukmu atsin her kes sahaya giriyor.,0.0,Fenerbahce Galatasaray 12 mayis 2012 MAC SONRASI REZALET,0,0,0,0
bak şuan yakalandı 6 yıl olmuş 6 yıl..,0.0,Fenerbahçe otobüsüne saldırıda yeni delil aranacak (Arşiv),1,0,0,1
ne kadar geri zekalı birisin,,,0,1,0,1
hakem uyuyor galiba,0.0,İşte o olaylı dev derbi! | Fenerbahçe & Beşiktaş | Ziraat Türkiye Kupası | 19.04.2018,0,0,0,0
duayla himmetle ayağı kalktılar sonra,0.0,İşte o olaylı dev derbi! | Fenerbahçe & Beşiktaş | Ziraat Türkiye Kupası | 19.04.2018,0,0,0,0
polis önce sağ seriti ihlal edenlere bir ceza yazsin da mobileti de sıkıştırıyor dikkat ederseniz,0.0,"""Are you a bandit?"" Undercover Police Officer Issues Slap-Like Warning to Motorcyclist Kicking in...",0,1,0,1
metehan barım,0.0,Metehan [ 2 ] Küfürlü 😂 +18,0,0,0,0
1:16 oneydi ses geldi öyle?,0.0,Turkcell Kayıt Altına Alınan Görüşme -) - YouTube.flv,0,0,0,0
gerçekten salak mısın,,,0,1,0,1
oha 2 dakıka önce,0.0,Otobüste bebek arabası tartışması,0,0,0,0
ustad demişti bi ara dünya yuvarlaktirda bukadarda bilmezdim vay cemal bey vayyyy,0.0,Cemal Enginyurt ile Abdurrahman Uzun arasında sert tartışma,0,1,0,1
kes lan aq,,,1,1,0,1
"👍 bravo, ne kadar da terbiyeli bir beyefendi! ehliyetini elinden alıp beş yıl hapse atın. o zaman akıllanır belki .",0.0,Trafikte tartıştığı araca tekme ve yumrukla saldırdı #shorts #trafik #keşfet,1,0,0,1
